Kiswahili,Kikuyu
akakana ,agĩkaana 
na Isaaka,na Isaaka
mtulivu ,mũkiri 
wana wake,aariũ aake
Mibsamu ,Mibisamu 
na Harani,na Harani
Reubeni ,Reubeni 
hana woga,ndari kieha
Simeoni ,Simeoni 
Simeoni ,Simeoni 
kuvumilia,kũũmĩrĩria
Mama yake,Nyina
Isakari ,Isakaru	
Naftali ,Nafutali 
Aliwaumba,Aamoombire
Efraimu ,Efiraimu 
Waanamu ,Anami 
matumbo ,yama ciayo cia nda 
Adbeeli ,Adibeli 
na Kedema,na Kedema
Kemueli ,Kemueli 
Tahashi ,Tahasha 
na Yakobo,na Jakubu
waandishi,andıki
na njaa .,ahũũtĩĩte .
mwanamume,mũndũ mũrũme
msimuue .,mũtigakooragage .
chakula ,irio 
kufuatana,irũmanĩrĩire
Mtiini . ,Mwathikagirei . 
Akajibu ,Agicokia 
ni nani ?,nũũ ?
Midiani ,Midiani 
na Shua .,na Shua .
Baadaye ,Na rĩĩrĩ 
nduguye ,mũrũ wa nyina 
Waamori ,Aamori 
akasema ,akiuga 
kuvitoa .,guciruta .
 Tokeni , Umai 
' Usiue ,' Ndukanoragane 
talaka . ,marua ma ndigano . 
Zimrani ,Zimirani 
kwa hivyo,kwoguori
Naftali ,Nafutali 
Tupishe ,Ehera 
nazo ni ,acio nĩ 
NI MIMI ,NĨ NIĨ 
atauawa .,nĩakooragwo .
Nimesikia,Nĩndaigua
akalewa ,akĩrĩĩo 
Waletushi,Aletushi
hema yake,mũciĩ wake
akaamka ,agiukira 
Isakari ,Isakaru 
wakamfuata,makimurumirira
Usiogope !,ndũkaae gwĩtigĩra !
Hakuna mtu,Gutiri mundu
nitarudi ,nĩngaacooka 
Walehabi ,Lehabi 
Dekapoli ,Jerusalemu 
ndefu sana,kiraya muno
na Maaka .,na Maaka .
Yerusalemu,Judea
ningeuliwa,nĩngũũragwo
aliwacha .,akĩmũtiga .
kwa hakimu,kuri mutuaniri cira
Galilaya ,Dekapoli 
ya kilio ,wa kiriro 
Zebuluni ,Zebuluni 
hautatupwa,nduguteo
mke wake ,mũtumia wake 
Yokshani ,Jokishani 
irimaini .,mlimani .
Yakobo . ”,na Jakubu . ”
Waperizi ,Aperizi 
Waashuru ,Aasiria 
ataipoteza,akooruo niguo .
nimekubali,nĩndeetĩkĩra
mke wake ,mũtumia wake 
Pildashi ,Pilidashu 
na arushwe,na aikio
Zebuluni ,Zebuluni 
na Eldaa .,na Elidaha .
Kesho yake,Mũthenya ũyũ ũngĩ
atukuzwe ,arokumio 
Kesho yake,Mũthenya ũyũ ũngĩ
na miguu ,na mathaagiro 
mwanamke ,mũndũ wa nja 
na Tirasi .,na Tirasi .
na Dedani .,na Dedani .
na Dedani ,na Dedani 
Akamwambia,Akimwira
kawauliza ,akĩmooria atĩrĩ 
Wakamjibu ,Makimucokeria
Wanaftuhi ,Nafituhi 
Ingia ndani,Toonya  thĩinĩ
Wakaambiana,Magĩkĩĩrana
wasichana .,airĩĩtu .
mũihwa Loti,mpwa Loti
nitapona . ,ni nguhona . 
akamsifia ,akigathiriria 
Takasika . ,Thera . 
Nipe maji ?,He mai ?
na Togama .,na Togarima .
Ashkenazi ,Ashikenazu 
wakauliza ,Makĩũria atĩrĩ 
Nebayothi ,Nebaiothi 
ni kusema ,ni kuuga 
na wake zao,na atumia aao
Damu yake .,Thakame ya yo .
na Yakobo ,na Jakubu 
mnayovuna ,mũgethaga 
wana wako ,ciana ciaku 
Benyamini ,Benjamini 
Benyamini ,Benjamini 
Harakisha !,Kĩhiũhe !
na Yakobo .,na Jakubu .
 Nakusihi ,“ Ndagũthaitha 
na Asheri .,na Asheri .
wako wapi ?,me ha ?
Leviticus .,Alawii  .
na Bethueli,na Bethueli
Sikucheka !,ndinatheka !
Kwa hivyo ,Kwoguo 
na uzikwe .,na ũthikwo .
Asiye macho,Utari maito
Siku moja ,Mũthenya ũmwe 
Baba mzee ,Baaba nĩakũrire 
wakunga hao,atumia acio aciarithania
Wao wakasema,Nao makiuga
Alipowaona ,Aamoona 
na ile nyama,na nyama icio 
muda mrefu .,ihinda iraaya .
na Kanaani .,na Kanaani .
siku ya tatu,mũthenya wa gatatũ
akahisi njaa,akiigua ahutii
na Sabteka .,na Sabiteka .
Hata hivyo ,No riri 
Wake za Esau,Atumia a Esau
msiwaogope .,mutikanametigire .
kila mwaka .,o mwaka .
hawaombani .,matihoyanaga .
na Waleumi .,na Aleumi .
wanyama wote,nyamũ ciothe
katika ardhi,tĩĩriinĩ
Wakati huo ,Hĩndĩ o ĩyo 
Bila shaka ,Hatari nganja 
na waandishi,na andiki-Watho 
Kesho yake ,Mũthenya ũyũ ũngĩ 
Akiwa huko ,Arĩ kũu 
na watumwa .,na ngombo .
Mpaka wenu ,Mihaka yanyu 
akawauliza ,akĩmooria 
ukate uutupe,gutinii ugute
akapiga mbio,agĩteng'era
na dhahabu ,na thahabu 
akamwambia ,akimwira 
tusikilize ,tathikĩrĩria 
akamwambia ,akimwira 
Nitakubariki,Nĩngaakũraathima 
makĩmatooria,wakawashinda
Mimi sijui !,Niĩ ndiũĩ !
Angalia sana,Menyerera
unatoka wapi,uuma kũ
nitakubariki,Nĩngũkũraathima
na mtapewa ,na ni mukuheo 
akamwambia ,akimwira 
Kazi ya umma,Wira wa muingi
akamwambia ,agĩkĩĩra 
Watu wawili ,Andu eri 
unisikilize ,tathikĩrĩria 
kulipokucha ,kĩrooko tene 
' Usizini . ',' Ndukanatharie . '
“ Mzee huyu , Mũthuuri ũyũ 
wakamwambia ,makimwira 
mwana wa kike,mwari
Noa na wanawe,Noa na aariũ aake
jua likitua .,riũa rĩkĩratha .
“ Dada yetu ,“ Mwarĩ wa maitũ 
kikashangaa ,gikimaka 
na Wayebusi .,na Ajebusi .
akiwa amebeba,ĩkuuĩĩte
alifadhaika .,nĩatangĩkire ngoro .
Wao wakamjibu,Nao makĩmũcookeria
Lakini wewe ,No wee-rĩ 
unisikilize ,tathikĩrĩria 
na mjichunge ,na mwimenyagirire 
Wazawa wa Noa,Njiarwa cia aariũ a Noa
utamwita Sara,ũrĩmwĩtaga Sara
kuteka maji ,gũtaha maaĩ 
 Ningependa ., Ni ngwenda .
hufunguliwa .,ni ahinguragiruo .
ili unibariki,nĩ geetha ũndaathime
Mimi sitakula,Niĩ ndingĩrĩa
Tumepata maji,Nĩtuoneete maaĩ
katika hori ,mũharatĩinĩ 
Naye aliota ,Naake nĩarootire 
Kwa sababu ya,nĩ ũndũ wa
Bwana zangu ,Athuuri aya 
jua likatua ,riũa rĩgĩthũa 
Ikawa hivyo .,Gugigituika o oguo .
Shida haidumu,Thina ndutuuraga
Ndugu zangu ,Araata aakwa 
Nawaambieni ,Ngumwira 
Na akimwona ,Na angimiona 
mkewe Nahori ,mũtumia wa Nahori 
na wakauliza ,na makiuria 
Ni mimi Esau ,Nĩ niĩ Esau 
Gharika kuisha,Mũiyũro wa maaĩ gũthira
awe mke wake .,ĩtuĩke mũtumia wake .
Mnafiki wewe !,Hinga ino !
Naye akajibu ,Naake agĩcookia 
“ Bwana wetu ,“Mũthuuri ũyũ 
mtoto wa kiume,kahĩĩ
akahisi njaa .,akiigua ahutii .
Wazawa wa Tera,Njiarwa cia Tera
wewe binafsi ,wee mwene
tanuri kubwa .,riikoinĩ inene .
Kuanzia sasa ,Kuuma rĩu 
ni lazima ampe,no muhaka amuhe
mzike mke wako,thika mũtumia waku
wanaume wote ,Arũme oothe 
na wazawa wako,na njiarwa ciaku
atarudi hai . ,egucoka muoyo . 
wakakaa huko .,magĩtũũra kuo .
shina la mti .,gitina-ini kia muti .
au ni kusema ,kana ni kuuga 
Acha kuogopa ,Tiga gwĩtigĩra 
kabla sijaanza,itaambĩĩte
na kuwaudhi na,na kumunyariria na
Naye alimzalia,Naake nĩamũciarĩire
Hii ni ng`ombe,Ino ni ng'ombe
Urembo hauliwi,Uthaka nduriagwo
Furaha haidumu,Ukeni ndutuuraga
uitwao Frati .,rwitagwo Farati .
chukua ndege .,oya nyoni .
Mbuzi analia .,Mburi ni iriraria .
Hii ni mbuzi .,Ino ni mburi .
haikosi kunuka,ndwagaga kununga
Maji ni uhai .,Mai ni muoyo .
mwana wa kiume,muriu
Uadui huatimii,Uthu nduhingagia
mfukuze pepo .,muingatage ndaimono .
mkoani Yudea .,thĩinĩ wa Juda .
Utafanya hivi ,Ũgwĩka ũguo-ĩ 
uniletee nile ,ũndeehere ndĩe 
Nitawaambieni ,Ngumwira 
Usiende Misri ,Ndũgaathiĩ Misiri 
Ndama alikufa .,Gacau ni karakuire .
Tutakula nini ?,Tukuria kii ?
Uzee hula ujana,Ukuru uriaga wanake
atapata mimba ,ni akooha nda
wafalme wanne ,athamaki ana 
Ili asikupeleke,niguo ndagagutware
Isaka akasema ,Isaaka akĩmwĩra 
Usiape kabisa ,Mutikanehite o na atia 
lina maji mengi,maaĩ maingĩ
wengine Eliya ,angi Elija 
Nitawaambieni ,Ngumwira 
Isaka akajibu ,Isaaka agĩcookia 
tua mtungi wako,Tainamĩrĩria ndigithũ yaku
akampa kondoo ,akĩmũhe ng'ondu 
na kula kiapo .,na makĩĩhĩta .
Naye akaitika ,Naake akĩmwĩtĩka 
Nao wakamjibu .,Nao makĩmũcookeria .
Vua viatu vyako,ruta iraatũ ciaku
“ Babako nani ?,“ Thooguo nũũ ?
ila hakiungui .,no gĩtiahĩaga .
sikuja kumaliza,ndiokire kuuniina
ukaitwa Soari .,gagĩĩtwo Zoari .
mume wa Mariamu,muthuri wa Mariamu
mtu huyo akatoa,mũndũ ũcio akĩruta
wakiwa pamoja ,me hamwe 
Nitawaambieni ,Ngumwira 
Kimbilia huko !,Wĩtharĩre kuo !
Mnara wa Babeli,Mũnaara wa Babiloni
na akamwambia ,na akimwira 
akamzaa Kaini .,agĩciara Kaini .
Mungu wa milele,Ngai wa tene ne tene .
wajuzi wa nyota,atuiria a njata
pamoja na mkewe,o hamwe na mũtumia wake
kisha aende . ”,acooke athiĩ . ”
Wazawa wa Sheme,Njiarwa cia Shemu
Yesu akawaita .,Jesu akimeta .
wakaishi huko .,magĩtũũra kuo .
siku arubaini .,mĩthenya mĩrongo ĩna .
mwenye nyumba .,mwene mucii .
akapata mimba .,akĩgĩa nda .
akampa Rebeka .,akĩhe Rebeka .
akapata mimba ,akĩgĩa nda 
Abramu akauliza,Aburamu akĩũria
aini akamjibu ,Kaini akĩmũcookeria 
gharika ikaja .,mũiyũro ũgĩũka .
alimwita Musa .,agĩĩta Musa .
Umefanya nini ?,nĩkĩ wĩkĩĩte ?
Paka anacheza .,Nyau ni irathaka .
Niletee ndama ,Ndeehere moori 
akamvika Yakobo,akĩhumba Jakubu
akiwa na mshauri,e na mũmũtaari
lakini si watu .,no ti andu .
we mpumbavu huyu,we kirimu giki
Ondoka nchi yetu,Uma bũrũri witũ
Mungu akamjibu ,Ngai akĩmwĩra 
Akawajibu  Ee  .,Akimeera  Ii  .
mjukuu wake Loti,mũcũkũrũ wake Loti
Paka wanacheza .,Nyau ni irathaka .
Watoto wa Nahori,Njiarwa cia Nahori
wakaogopa sana .,ikĩmaka mũno .
Kumeandikwa kuwa,Nı kwandike atiri
alimzalia Teba ,nĩamũciarĩire Teba 
Kukimbilia Misri,Kũũrĩra Misiri
Amewezeshwa na .,Ahotitiitio na .
Kukitokea vita ,Kũngiuma mbaara 
Roho mtakatifu ,Roho mutheru .
Sasa nimezeeka ,Rĩu nĩngũrire 
bila kuwasikilia,matekũmaiguĩra
hayajichokeshi ,matiinogagia 
watoto wengine .,ciana ingĩ .
Endelea kuomba ,Thiii na mbere kuhoya 
“ Usije karibu ,“ Ndũgakuhĩrĩrie 
kaka yake Rebeka,mũrũ wa nyina na Rebeka
watoto wengine .,ciana ingĩ .
wavuvi wa samaki,ategi a thamaki .
mwana wa Daudi ,muru wa Daudi 
Lakini watoto wa,No rĩĩrĩ ciana cia
nazo viatu vyake,nacio iratu ciake
Kaini na Abeli .,Kaini na Habili .
wakamwita Yakobo,gagĩgĩĩtwo Jakubu
Ujuzi ni nguvu .,Ugi ni hinya .
Kujikinga hatari,Ugwithirima mutino
naye alijifungua,naake agĩciara
likate ulitupe .,gutinie ugute .
Naye pia akala !,Onake akimaria !
Inuka uitembelee,Gĩũkĩre ũthiĩ
miaka mia tatu .,mĩaka magana matatũ .
wakipaza sauti ,makianagirira 
na wazawa wako ,na njiarwa ciaku 
aliwapa zawadi ,nĩaciheire iheeo 
naye akwauliza ,nake akimoria 
Utajiri wa mwizi,Utonga wa muici
miaka mia tano .,mĩaka magana mataano .
utaitwa Abrahamu,ũrĩĩtagwo Aburahamu
akawuliza kuwa ,akimoria atiri 
 Mwenyezi-Mungu , Mwathani 
Hapana  sivyo !,Aaca  tiguo !
Kutanyesha leo .,Ni gukura umuthi .
isiyotiwa chachu,ĩtarĩ mĩĩkĩre ndaawa ya kũimbia
kajifunika uso .,akĩĩhumbĩra ũthiũ .
Damu haina ndugu,Thakame ndiri ndugu
Msiangalie nyuma,Mũtikeehũgũre
na yule apendaye,na uria wendete
yule anayeitwa ,ũrĩa wĩtagwo 
fedha na dhahabu,betha o na thahabu
Abramu akakubali,Aburamu agĩĩtĩkĩra
Akamwambia hivi ,Akimwira uu
Akamwambia Sara ,Akĩĩra Sara 
hakumjua Yosefu .,ũtooĩ Josefu .
endelea kubisha ,thii na  mbere kuringaringa 
Yesu akamwambia ,Jesu akimwira 
Kwa sababu hiyo ,Nĩ ũndũ ũcio 
jiangushe chini ,wiguithie thi
naye akawaponya .,nake akimahonia .
kwa maana walikua,tondu maari
Msijiambia kuwa ,Mutikeire atiri 
Na mvua ikanyea ,Na mbura ikiura 
Ufalme wako uje .,Uthamaki waku uuke .
hivyo ni kusema ,uguo ni kuuga 
Wazawa wa Kaini .,Ciana cia Kaini .
Mtu atakayekuua ,Mũndũ angĩgaakũũraga 
Nao wakamwambia ,Nao makimwira 
mna thawabu ipi ?,muri na kirathimo kiriku ?
Endagai adui zenu,Endagai thu cianyu
akatazama nyuma ,nĩehũgũrire 
nao wakiniuliza ,nao manjũũrie 
viwete wakiponywa,cionje ikihonio
Naye akawauliza ,Nake akimoria 
akamwambia hivi ,akĩmwĩra atĩrĩ 
ametutokea sisi ,nĩeyonanĩĩtie kũrĩ ithuĩ 
Sauti ilisikika , Mugambo ni waiguiruo 
MUngu wetu sadaka,Ngai witũ magongoona
 Jicho kwa jicho ,Riitho riumage riitho
Wakifanya hivyo ,Meeka ũguo 
ling`oe ulitupe .,rikuure urite .
Mose akaangalia ,Musa aacũũthĩrĩria 
maana nilimchagua,amu nĩndĩmũthuurĩĩte
wakafurahi sana .,magikena muno.
Mara alipowaona ,Aamoona 
hakuwa na mtoto .,ndaarĩ na mwana .
binti ya Harani .,mwarĩ wa Harani .
wakampa dhahabu ,makimuhe thahabu 
“ Mose ! Mose ! ”,“ Musa ! Musa ! ”
ling`oe ulitupe .,rikuure urite .
na mtafunguliwa .,na ni mukuhinguriruo .
akawamiminia maji,Nĩagĩitĩrĩire maaĩ
Watoto wanauawa .,Twana kũũragwo .
fufueni wale wafu,riukagiai aria akuu .
Ila mti ule ulio,No mũtĩ ũrĩa ũrĩ 
Naye bwana wake ,Nake mwathi wake 
Mwana wa Daudi . ,Muru wa Daudi . 
ufalme wako uje .,Uthamaki waku uuke .
Sethi na Enoshi .,Sethu na Enoshu .
nyota za mbinguni,njata cia igũrũ
Maji haya ni yetu,Maaĩ maya nĩ maitũ
mkono na shingo .,mooko na ngingo .
binti ya Bethueli,mwarĩ wa Bethueli
ngamia na punda !,ngamĩĩra na ndigiri !
akawaambia kuwa ,akimeera atiri 
akamwambia kuwa ,akimwira atiri 
yule aliye sirini,uria uri hitho-ini
Wakifanya hivyo ,Mangika uguo 
pete ya dhahabu ,gĩcũhĩ gĩa thahabu 
Paka  watacheza .,Nyau ni igathaka .
nitamwabia hivi ,ndĩmwĩre ũũ 
akipika kitoweo ,akĩruga gĩtoero 
Abrahamu akamjibu,Aburahamu akĩmũcookeria
Abrahamu akapanda,Aburahamu akĩhanda
akamwambia kuwa ,akimwira atiri 
Yesu akamwambia ,Jesu akimwira 
walikuwa safarini,marĩ thaamainĩ
Naye akifikiria ,Nake agiciira 
au nguo zingine .,kana nguo ingi .
msinicheleweshe ,Tigaai gũtũma jikare 
tafuteni mtu yule,cariai mundu
Isaka akavichimbua,Isaaka nĩathikũririe
akatajirika sana .,agĩtonga mũno .
tukaja kumwabudu .,tũũkĩĩte tũmũthaathaiye .
Abramu akiwa Misri,Aburamu e Misiri
akala na akanywa ,akĩrĩa na akĩnyua 
Shida haina mizizi,Thina nduri miri
Mungu wa Abrahamu,Ngai wa Aburahamu 
‘ Mwenyezi-Mungu ,‘ MWATHANI 
wakamsukuma Loti ,Makĩhatĩka Loti 
Umenifanyia nini ?,Ũnjĩkĩĩte atĩa ?
Nyinyi wazawa hawa,Inyui ruciaro ruru
' Mwenyezi-Mungu ,‘ MWATHANI 
ndani ya Hebroni ,thĩinĩ wa Heburoni 
Uzee haupigi nduru,Ukuru ndugaga mbu
Beberu ya mwenyewe,Ndegwa ya  mwene
Baada ya siku saba,thuutha wa mĩthenya mũgwanja
wakituashiria sisi,magituorotaga ithui
Ni bwana wangu . ”,Nĩ mũnene wakwa . ”
Leta hesabu yako ,Rehe ithabu waku 
 Mavuno ni mengi , Magetha ni maingi 
 Wacha kunikzuia , Tiga kungiria 
akapatwa na huruma,akiringwo ni tha
kabla hawajaoana .,matanahikania .
Walipoamka asubuhi,Mookĩra rũũciinĩ
akamtuma kunguru .,agĩtũma ihuru .
Wazawa wa Ishmaeli,Njiarwa cia Ishumaeli
Nitambariki Sara ,Ngũmũraathima 
akaenda Galilaya .,agithii Galili .
alikasirika sana ,akirakara muno
Uovu wa binadamu .,Waganu wa andũ .
Yuko huko hemani .,E kũũrĩa hemainĩ .
Waliposkia hivyo ,Maigua uguo 
au viatu vingine .,kana iratu ingi .
aliyeitwa Ahuzathi,wetagwo Ahuzathu
kichwa na mafuta ,mũtwe na rwambũ 
kama moshi itokayo,ta ndoogo ĩroima
Nimekula chakula .,Ni ndaria irio .
Yosefu alifariki ,Josefu agĩkua 
na akapata mimba ,na akĩgĩa nda 
Kuzaliwa kwa Isaka,Gũciarwo kwa Isaaka
wapigane na sisi ,mahũũrane na ithuĩ 
na mji hiyo mitatu,na matũũra macio matatũ
zilizokua zikiitwa,marĩa meetagwo
 Huyu mimi hapa . ,“ Ĩ niĩ ũyũ haaha . ”
atamchinjia hapo ,amĩthĩnjĩre o hau 
Ni kweli ni wetu ,Nĩ ma nĩ witũ 
kule alikozaliwa .,o kũrĩa aaciarĩirwo .
Isaka anaoa Rebeka,Isaaka kũhikia Rebeka
alikasirika sana .,kĩng'ũrĩka mũno .
lakini mimi sina .,no niĩ ndirĩ .
Mjini Bethlehemu ,itũũrainĩ rĩa Bethilehemu 
ĩathiire kũmũtũnga,alienda kumlaki
wakaingia hemani ,magĩtoonya hemainĩ 
Isaka akawauliza ,Isaaka agĩkĩmooria 
Kisha akamwambia ,Agĩcooka akĩmwĩra 
Na wakati utaomba ,No riria ukuhoya 
Noa alikuwa mkulima,Noa aarĩ mũrĩmi
makĩmookĩrĩra ũtukũ,akawashambulia usiku
Ee Mwenyezi-Mungu ,‘ Wee MWATHANI 
akagusa macho yao ,akihutia maitho mao
mũihwawe nĩmũtahe ,mpwa wake amechukuliwa mateka 
tafuteni na mtapata,caria na ni ukuona
uandike hamsini . ',wandike mirongo itano . '
nitakaokuonesha . ”,ngũkuonia . ”
wakafadhaika sana .,magitangika muno .
 Tusikilie huruma , Tuiguire tha 
mtu wa Yerusalemu .,mundu wa jerusalemu .
tena kulinenwa hivi,ningi ni kweriruo uu
 MIMI NDIMI NILIYE , NĨ NIĨ ŨRĨA WE 
Wewe na wazawa wako,Wee na njiarwa ciaku
nitakubariki sana ,nĩngũkũraathima mũno 
kama vile watu wale,ta uria andu aria
Mungu wa Abrahamu ,Ngai wa Aburahamu 
Mtoto huyo alikua ,Kamwana kau nĩgaakũrire 
Nayo mvua ikanyea ,Nayo mbura ikiura 
Akaanza kuwafunza ,Akiambiriria kumaruta 
kutoka wakati huo ,Kuuma hindi iyo 
mwanga iliwazukia .,makiaririruo ni utheri .
 njooni  nifuateni, Ukai  numirirai 
 Nenda  Shaitani !,Thii  Shaitani!
Hagari na Ishimaeli,Hagari na Ishumaeli
na saa inayong`aa .,na thaa irametameta .
na suti nipige pasi,na thuti hure bathi
Walikuja na motokaa,Mokire na mitokaa
kujirudia ni ujinga,Ucokereru ni ukigu
na watakushikilia ,na ni magakunyitirira 
Mjakazi wako huyo ,Ĩyo nĩ ndungata yaku 
mfanyie upendavyo .,ĩka nayo ũrĩa ũkwenda .
 kumeandikwa kuwa , Ni kwandike atiri 
 Mwana wa mwanadamu, Muru wa mundu
apasue mwili wake .,atarũranie mwĩrĩ wayo .
Lakini wazawa wao ,No njiarwa ciao 
 Twende shambani . , Nĩtũthiĩ mũgũnda . ”
na itadumu milele .,na gĩgũtũũra nginya tene .
Wapendeni adui zenu,Endagai thu cianyu
Yesu akasema kuwa ,Jesu  akiuga atiri 
Umepatwa na laana ,Nĩwanyiitwo nĩ kĩrumi 
kuhani wa Midiani ,mũthĩnjĩri Ngai wa Midiani 
kikamtukuza Mungu ,gikigooca Ngai 
Alikuwa na mifugo ,aarĩ na mahiũ 
akamvisha mkononi .,akĩmwĩkĩra mooko .
na jino kwa jino. ',na igego riumage igego . '
Loti akawasini sana,Loti akĩmathaitha mũno
mũthenya na ũtukũ ,usiku na mchana 
Mtumishi wa Mungu .,Ndungata ya Ngai .
wakaondoka huko Uri,makiuma kũu Uru
Akamwambia Yakobo ,Agĩkĩĩra Jakubu atĩrĩ 
Abimeleki akawaonya,Abimeleki nĩakaanirie
Mungu wa Abrahamu ,Ngai wa Aburahamu 
 Mbweha ana pango ,Mbwe ni iri imamo 
Loti anatoka Sodoma,Loti kuuma Sodomu
unipe maji ninywe ,ũreke nyue maaĩ 
na vipofu wakaona .,na atumumu makiona .
na kwa ajili yake ,na nĩ ũndũ wake 
na vile walimuona ,na riria maamuonire 
ungetutia hatiani .,ũgĩtũreeherere mahĩtia .
akiwa mwali wa moto,arĩ rũrĩrĩmbĩinĩ rwa mwaki
mwana wa Ibrahimu .,muru wa Iburahimu .
Abrahamu akamjibu ,Aburahamu agĩcookia 
itaanzia jangwani ,ikaambiriria weruini 
Kwetu nyumbani kuna,Gwitũ mũciĩ kwĩ
Wakati ule mamake ,Hindi iria nyina 
mama alikua Ruthi ,nyina aari Ruthu 
“ Umetutendea nini ?,“ Ũtwĩkĩĩte atĩa ?
na utamwita Ishmaeli,na ũgũgatua Ishumaeli
na kuufunga mlango .,a makĩhinga mũrango .
yule aliamzaa Yesu ,uria waciarire Jesu 
' Si kwa mkate pekee,' To mugate wiki
au baba mwana wake .,kana ithe mwana wake .
Naye akamjibu kuwa ,Naake akĩmũcookeria atĩrĩ 
hivyo wakamwita Esau,kwoguo gagĩĩtwo Esau
unijalie nifaulu leo,reke hootane ũũmũũthĩ
Isaka alikua ametoka,Isaaka aakoreetwo oima
mama alikua Rahabu ,nyina aari Rahabu 
Naye Yesu akawauliza,Nake Jesu akimoria
nilikuja kuyatimmiza,ndokire kuuhingia
na kiriba cha maji .,na mondo ya rũũa ĩiyũire maaĩ .
Tokeni mahali hapa ,Umaai gũũkũ 
Bila shaka ni lazima,Hatari nganja no muhaka
Mungu wa babu zenu ,Ngai wa maithe maanyu 
Naye Hagari akaenda,Naake agĩthiĩ 
hebu nikaribie nione,reke nguhĩrĩrie nyone
nitawaambia nini ? ”,Ngaameera atĩa ? ”
Pokea malipo yangu ,Amũkĩra irĩhi rĩakwa 
